STATE,NAMEPLC,PERPU,PERPOV,PERRATE,PERRANK
AK,ANCHORAGE CITY,220789,15614,7.,173.0
AL,BIRMINGHAM CITY,260150,64572,25.,16.0
AL,HUNTSVILLE CITY,155507,18093,12.,134.
AL,MOBILE CITY,190956,42838,22.,32.0
AL,MONTGOMERY CITY,181311.,32778,18.,68.
AR,LITTLE ROCK CITY,172301,25193,15.,103.
AZ,GLENDALE CITY,146230,16756,12.,137.
AZ,MESA CITY,285066,27087,10.,156.
AZ,PHOENIX CITY,969133,137406,14.,107.0
AZ,SCOTTSDALE CITY,128753,7583,6.,180.
AZ,TEMPE CITY,136693,18603,14.,113.0
AZ,TUCSON CITY,393379,79287,20.,46.0
CA,ANAHEIM CITY,262477,27933,11.,146.0
CA,BAKERSFIELD CITY,171835,25782,15.0,99.
CA,CHULA VISTA CITY,133083,13036,10.,153.
CA,CITRUS HEIGHTS CDP,106236,7735,7.,171.0
CA,CONCORD CITY,109787,7349,7.,175.0
CA,EAST LOS ANGELES COP,121549,29355,24.,20.0
CA,ET MONTE CITY,104172,23446,23.,31.0
CA,ESCONDIDO CITY,107232,12016,11.,140.0
CA,FREMONT CITY,171956,7316,4.,185.0
CA,FRESNO CITY,345742,83108,24.0,21.0
CA,FULLERTON CITY,112000,10985,10.,153.
CA,GARDEN GROVE CITY,140583,14652,10.,148.0
CA,HAYWARD CITY,109993,10640,10.,154.0
CA,HUNTINGTON BEACH CITY,180330,9367,5.,182.0
CA,INGLEWOOD CITY,108098,17806,17.,87.0
CA,IRVINE CITY,107923,6948,6.,177.0
CA,LONG BEACH CITY,414425,69694,17.,84.0
CA,LOS ANGELES CITY,3413703,643809,19.,57.0
CA,MODESTO CITY,161188,20930,13.0,119.
CA,MORENO VALLEY CITY,118059,9870,8.,163.
CA,OAKLAND CITY,365427,68781,19.,59.0
CA,OCEANSIDE CITY,127333,12823,10.,150.0
CA,ONTARIO CITY,131683,17853,14.,113.0
CA,ORANGE CITY,107155,8559,8.0,166.0
CA,OXNARD CITY,140627,17608,13.,126.0
CA,PASADENA CITY,127660,19043,15.,101.
CA,POMONA CITY,128340,23648,18.,64.0
CA,RANCHO CUCAMONGA CITY,100795,5516,6.,181.0
CA,RIVERSIDE CITY,220040,26280,12.,131.0
CA,SACRAMENTO CITY,361621,62232,17.,77.
CA,SALINAS CITY,106881,16652,16.,94.0
CA,SAN BERNARDINO CITY,158711,36174,23.,25.0
CA,SAN DIEGO CITY,1064054,142382,13.,116.0
CA,SAN FRANCISCO CITY,710982,90019,13.,122.0
CA,SAN JOSE CITY,770150,71676,9.,158.0
CA,SANTA ANA CITY,285618,51835,18.,68.
CA,SANTA CLARITA CITY,108980,4045,4.,187.0
CA,SANTA ROSA CITY,111612,9269,8.,164.0
CA,STOCKTON CITY,205884,43990,21.,38.
CA,SUNNYVALE CITY,116342,5461,5.,184.0
CA,THOUSAND OAKS CITY,102731,4340,4.,186.0
CA,TORRANCE CITY,131867,6791,5.,183.0
CA,VALLEJO CITY,106178,9007,9.,161.0
CO,AURORA CITY,219234,16288,7.,170.0
CO,COLORADO SPRINGS CITY,275562,29973,11.,143.0
CO,DENVER CITY,458243,78515,17.,79.0
CO,LAKEWOOD CITY,123078,9348,8.,169.0
CT,BRIDGEPORT CITY,137446,23463,17.,79.0
