STATE,COUNTY,1990 INCOME
AL,Autauga County,58425
AL,Baldwin County,53013
AL,Barbour County,39976
AL,Bibb County,40772
AL,Blount County,46147
AL,Bullock County,30401
AL,Butler County,33100
AL,Calhoun County,49074
AL,Chambers County,43825
AL,Cherokee County,44056
AL,Chilton County,44590
AL,Choctaw County,35287
AL,Clarke County,39312
AL,Clay County,39693
AL,Cleburne County,43623
AL,Coffee County,49287
AL,Colbert County,46138
AL,Conecuh County,32972
AL,Coosa County,41811
AL,Covington County,37924
AL,Crenshaw County,33937
AL,Cullman County,44683
AL,Dale County,49670
AL,Dallas County,34005
AL,DeKalb County,41514
AL,Elmore County,54309
AL,Escambia County,38085
AL,Etowah County,46007
AL,Fayette County,40914
AL,Franklin County,36920
AL,Geneva County,41291
AL,Greene County,24720
AL,Hale County,29912
AL,Henry County,45627
AL,Houston County,51159
AL,Jackson County,45174
AL,Jefferson County,53314
AL,Lamar County,42510
AL,Lauderdale County,48844
AL,Lawrence County,44367
AL,Lee County,43765
AL,Limestone County,55410
AL,Lowndes County,32131
AL,Macon County,32250
AL,Madison County,68138
AL,Marengo County,38479
AL,Marion County,38050
AL,Marshall County,44242
AL,Mobile County,47409
AL,Monroe County,43586
AL,Montgomery County,54742
AL,Morgan County,58480
AL,Perry County,28388
AL,Pickens County,36862
AL,Pike County,35693
AL,Randolph County,40081
AL,Russell County,43287
AL,St. Clair County,49701
AL,Shelby County,75981
AL,Sumter County,26413
AL,Talladega County,44077
AL,Tallapoosa County,45400
AL,Tuscaloosa County,47536
AL,Walker County,42192
AL,Washington County,41405
AL,Wilcox County,25642
AL,Winston County,36980
AK,Aleutians East Borough,87387
AK,Aleutians West Census Area,72548
AK,Anchorage Borough,90607
AK,Bethel Census Area,52373
AK,Bristol Bay Borough,105382
AK,Dillingham Census Area,59336
AK,Fairbanks North Star Borough,77251
AK,Haines Borough,74323
AK,Juneau Borough,98809
AK,Kenai Peninsula Borough,87426
AK,Ketchikan Gateway Borough,93135
AK,Kodiak Island Borough,92399
AK,Lake and Peninsula Borough,52021
AK,Matanuska-Susitna Borough,84008
AK,Nome Census Area,62150
AK,North Slope Borough,104065
AK,Northwest Arctic Borough,68684
AK,Sitka Borough,89352
AK,Southeast Fairbanks Census Area,62311
AK,Valdez-Cordova Census Area,97935
AK,Wade Hampton Census Area,42444
AK,Wrangell-Petersburg Census Area,86636
AK,Yukon-Koyukuk Census Area,49369
AZ,Apache County,29071
AZ,Cochise County,46235
AZ,Coconino County,53837
AZ,Gila County,43223
AZ,Graham County,38050
AZ,Greenlee County,56680
AZ,La Paz County,34133
AZ,Maricopa County,63497
AZ,Mohave County,49487
AZ,Navajo County,40106
AZ,Pima County,52371
AZ,Pinal County,43918
AZ,Santa Cruz County,45495
AZ,Yavapai County,45483
AZ,Yuma County,48730
AR,Arkansas County,40238
AR,Ashley County,42491
AR,Baxter County,38815
AR,Benton County,53650
AR,Boone County,42588
AR,Bradley County,35584
AR,Calhoun County,43706
AR,Carroll County,42520
AR,Chicot County,26143
AR,Clark County,37252
AR,Clay County,33440
AR,Cleburne County,40077
AR,Cleveland County,40623
AR,Columbia County,38081
AR,Conway County,42345
AR,Craighead County,45668
AR,Crawford County,44481
AR,Crittenden County,43190
AR,Cross County,39275
AR,Dallas County,36392
AR,Desha County,32409
AR,Drew County,38980
AR,Faulkner County,48788
AR,Franklin County,37953
AR,Fulton County,30823
AR,Garland County,41772
AR,Grant County,50056
AR,Greene County,41112
AR,Hempstead County,35021
AR,Hot Spring County,39906
AR,Howard County,43868
AR,Independence County,41664
AR,Izard County,34865
AR,Jackson County,34310
AR,Jefferson County,43961
AR,Johnson County,37576
AR,Lafayette County,28553
AR,Lawrence County,31621
AR,Lee County,24636
AR,Lincoln County,38054
AR,Little River County,44928
AR,Logan County,39157
AR,Lonoke County,49134
AR,Madison County,37920
AR,Marion County,35504
AR,Miller County,41714
AR,Mississippi County,38188
AR,Monroe County,28108
AR,Montgomery County,34025
AR,Nevada County,39007
AR,Newton County,31213
AR,Ouachita County,43413
AR,Perry County,36341
AR,Phillips County,26949
AR,Pike County,39669
AR,Poinsett County,34757
AR,Polk County,36677
AR,Pope County,46031
AR,Prairie County,35141
AR,Pulaski County,55427
AR,Randolph County,34471
AR,St. Francis County,30986
AR,Saline County,58270
AR,Scott County,33957
AR,Searcy County,27259
AR,Sebastian County,49559
AR,Sevier County,39603
AR,Sharp County,35796
AR,Stone County,32277
AR,Union County,43382
AR,Van Buren County,35262
AR,Washington County,47677
AR,White County,40662
AR,Woodruff County,28914
AR,Yell County,40508
CA,Alameda County,77408
CA,Alpine County,51398
CA,Amador County,62400
CA,Butte County,46959
CA,Calaveras County,56998
CA,Colusa County,51363
CA,Contra Costa County,92960
CA,Del Norte County,47250
CA,El Dorado County,72282
CA,Fresno County,54384
CA,Glenn County,47072
CA,Humboldt County,48629
CA,Imperial County,46270
CA,Inyo County,50279
CA,Kern County,59037
CA,Kings County,52590
CA,Lake County,44934
CA,Lassen County,55182
CA,Los Angeles County,72090
CA,Madera County,56431
CA,Marin County,100088
CA,Mariposa County,52105
CA,Mendocino County,54520
CA,Merced County,52674
CA,Modoc County,45419
CA,Mono County,65820
CA,Monterey County,69111
CA,Napa County,75818
CA,Nevada County,66389
CA,Orange County,94681
CA,Placer County,77525
CA,Plumas County,50099
CA,Riverside County,68206
CA,Sacramento County,66589
CA,San Benito County,75200
CA,San Bernardino County,68952
CA,San Diego County,72208
CA,San Francisco County,68892
CA,San Joaquin County,63163
CA,San Luis Obispo County,64253
CA,San Mateo County,95743
CA,Santa Barbara County,73558
CA,Santa Clara County,99203
CA,Santa Cruz County,76517
CA,Shasta County,52742
CA,Sierra County,48776
CA,Siskiyou County,45196
CA,Solano County,80643
CA,Sonoma County,74841
CA,Stanislaus County,61427
CA,Sutter County,55866
CA,Tehama County,46258
CA,Trinity County,42254
CA,Tulare County,50411
CA,Tuolumne County,55730
CA,Ventura County,94042
CA,Yolo County,59515
CA,Yuba County,44376
CO,Adams County,62930
CO,Alamosa County,41782
CO,Arapahoe County,76769
CO,Archuleta County,47202
CO,Baca County,38353
CO,Bent County,39126
CO,Boulder County,72826
CO,Chaffee County,43656
CO,Cheyenne County,50186
CO,Clear Creek County,68346
CO,Conejos County,29252
CO,Costilla County,26920
CO,Crowley County,33170
CO,Custer County,41236
CO,Delta County,38209
CO,Denver County,51763
CO,Dolores County,41137
CO,Douglas County,106632
CO,Eagle County,76144
CO,Elbert County,74787
CO,El Paso County,61037
CO,Fremont County,41211
CO,Garfield County,60155
CO,Gilpin County,65767
CO,Grand County,61835
CO,Gunnison County,47448
CO,Hinsdale County,54122
CO,Huerfano County,30370
CO,Jackson County,43169
CO,Jefferson County,80583
CO,Kiowa County,44157
CO,Kit Carson County,47679
CO,Lake County,50942
CO,La Plata County,53109
CO,Larimer County,61206
CO,Las Animas County,33578
CO,Lincoln County,42462
CO,Logan County,45493
CO,Mesa County,48860
CO,Mineral County,40885
CO,Moffat County,65183
CO,Montezuma County,46371
CO,Montrose County,46617
CO,Morgan County,47110
CO,Otero County,37479
CO,Ouray County,56699
CO,Park County,66187
CO,Phillips County,44295
CO,Pitkin County,82453
