NAME,STATE,2000 POP.,1990 POP.
AUTAUGA COUNTY,AL,43671,34222
BALDWIN COUNTY,AL,140415,98280
BARBOUR COUNTY,AL,29038,25417
BIBB COUNTY,AL,20826,16576
BLOUNT COUNTY,AL,51024,39248
BULLOCK COUNTY,AL,11714,11042
BUTLER COUNTY,AL,21399,21892
CALHOUN COUNTY,AL,112249,116034
CHAMBERS COUNTY,AL,36583,36876
CHEROKEE COUNTY,AL,23988,19543
CHILTON COUNTY,AL,39593,32458
CHOCTAW COUNTY,AL,15922,16018
CLARKE COUNTY,AL,27867,27240
CLAY COUNTY,AL,14254,13252
CLEBURNE COUNTY,AL,14123,12730
COFFEE COUNTY,AL,43615,40240
COLBERT COUNTY,AL,54984,51666
CONECUH COUNTY,AL,14089,14054
COOSA COUNTY,AL,12202,11063
COVINGTON COUNTY,AL,37631,36478
CRENSHAW COUNTY,AL,13665,13635
CULLMAN COUNTY,AL,77483,67613
DALE COUNTY,AL,49129,49633
DALLAS COUNTY,AL,46365,48130
DEKALB COUNTY,AL,64452,54651
ELMORE COUNTY,AL,65874,49210
ESCAMBIA COUNTY,AL,38440,35518
ETOWAH COUNTY,AL,103459,99840
FAYETTE COUNTY,AL,18495,17962
FRANKLIN COUNTY,AL,31223,27814
GENEVA COUNTY,AL,25764,23647
GREENE COUNTY,AL,9974,10153
HALE COUNTY,AL,17185,15498
HENRY COUNTY,AL,16310,15374
HOUSTON COUNTY,AL,88787,81331
JACKSON COUNTY,AL,53926,47796
JEFFERSON COUNTY,AL,662047,651525
LAMAR COUNTY,AL,15904,15715
LAUDERDALE COUNTY,AL,87966,79661
LAWRENCE COUNTY,AL,34803,31513
LEE COUNTY,AL,115092,87146
LIMESTONE COUNTY,AL,65676,54135
LOWNDES COUNTY,AL,13473,12658
MACON COUNTY,AL,24105,24928
MADISON COUNTY,AL,276700,238912
MARENGO COUNTY,AL,22539,23084
MARION COUNTY,AL,31214,29830
MARSHALL COUNTY,AL,82231,70832
MOBILE COUNTY,AL,399843,378643
MONROE COUNTY,AL,24324,23968
MONTGOMERY COUNTY,AL,223510,209085
MORGAN COUNTY,AL,111064,100043
PERRY COUNTY,AL,11861,12759
PICKENS COUNTY,AL,20949,20699
PIKE COUNTY,AL,29605,27595
RANDOLPH COUNTY,AL,22380,19881
RUSSELL COUNTY,AL,49756,46860
ST. CLAIR COUNTY,AL,64742,50009
SHELBY COUNTY,AL,143293,99358
SUMTER COUNTY,AL,14798,16174
TALLADEGA COUNTY,AL,80321,74107
TALLAPOOSA COUNTY,AL,41475,38826
TUSCALOOSA COUNTY,AL,164875,150522
WALKER COUNTY,AL,70713,67670
WASHINGTON COUNTY,AL,18097,16694
WILCOX COUNTY,AL,13183,13568
WINSTON COUNTY,AL,24843,22053
ALEUTIANS EAST BOROUGH,AK,2697,2464
ALEUTIANS WEST CENSUS AREA,AK,5465,9478
ANCHORAGE BOROUGH,AK,260283,226338
BETHEL CENSUS AREA,AK,16006,13656
BRISTOL BAY BOROUGH,AK,1258,1410
DENALI BOROUGH,AK,1893,1764
DILLINGHAM CENSUS AREA,AK,4922,4012
FAIRBANKS NORTH STAR BOROUGH,AK,82840,77720
HAINES BOROUGH,AK,2392,2117
JUNEAU BOROUGH,AK,30711,26751
KENAI PENINSULA BOROUGH,AK,49691,40802
KETCHIKAN GATEWAY BOROUGH,AK,14070,13828
KODIAK ISLAND BOROUGH,AK,13913,13309
LAKE AND PENINSULA BOROUGH,AK,1823,1668
MATANUSKA-SUSITNA BOROUGH,AK,59322,39683
NOME CENSUS AREA,AK,9196,8288
NORTH SLOPE BOROUGH,AK,7385,5979
NORTHWEST ARCTIC BOROUGH,AK,7208,6113
PRINCE OF WALES-OUTER KETCHIKAN CENSUS AREA,AK,6146,6278
SITKA BOROUGH,AK,8835,8588
SKAGWAY-HOONAH-ANGOON CENSUS AREA,AK,3436,3680
SOUTHEAST FAIRBANKS CENSUS AREA,AK,6174,5913
VALDEZ-CORDOVA CENSUS AREA,AK,10195,9952
WADE HAMPTON CENSUS AREA,AK,7028,5791
WRANGELL-PETERSBURG CENSUS AREA,AK,6684,7042
YAKUTAT BOROUGH,AK,808,705
YUKON-KOYUKUK CENSUS AREA,AK,6551,6714
APACHE COUNTY,AZ,69423,61591
COCHISE COUNTY,AZ,117755,97624
COCONINO COUNTY,AZ,116320,96591
GILA COUNTY,AZ,51335,40216
GRAHAM COUNTY,AZ,33489,26554
GREENLEE COUNTY,AZ,8547,8008
LA PAZ COUNTY,AZ,19715,13844
MARICOPA COUNTY,AZ,3072149,2122101
MOHAVE COUNTY,AZ,155032,93497
NAVAJO COUNTY,AZ,97470,77658
PIMA COUNTY,AZ,843746,666880
PINAL COUNTY,AZ,179727,116379
SANTA CRUZ COUNTY,AZ,38381,29676
YAVAPAI COUNTY,AZ,167517,107714
YUMA COUNTY,AZ,160026,106895
ARKANSAS COUNTY,AR,20749,21653
ASHLEY COUNTY,AR,24209,24319
BAXTER COUNTY,AR,38386,31186
BENTON COUNTY,AR,153406,97499
BOONE COUNTY,AR,33948,28297
BRADLEY COUNTY,AR,12600,11793
CALHOUN COUNTY,AR,5744,5826
CARROLL COUNTY,AR,25357,18654
CHICOT COUNTY,AR,14117,15713
CLARK COUNTY,AR,23546,21437
CLAY COUNTY,AR,17609,18107
CLEBURNE COUNTY,AR,24046,19411
CLEVELAND COUNTY,AR,8571,7781
COLUMBIA COUNTY,AR,25603,25691
CONWAY COUNTY,AR,20336,19151
CRAIGHEAD COUNTY,AR,82148,68956
CRAWFORD COUNTY,AR,53247,42493
CRITTENDEN COUNTY,AR,50866,49939
CROSS COUNTY,AR,19526,19225
DALLAS COUNTY,AR,9210,9614
DESHA COUNTY,AR,15341,16798
DREW COUNTY,AR,18723,17369
FAULKNER COUNTY,AR,86014,60006
FRANKLIN COUNTY,AR,17771,14897
