NAME,2000 POP.,1990 POP.
ABILENE TX MSA,126555,119655
AGUADILLA PR MSA,146424,128172
ALBANY GA MSA,120822,112561
ALBANY--SCHENECTADY--TROY NY MSA,875583,861424
ALBUQUERQUE NM MSA,712738,589131
ALEXANDRIA LA MSA,126337,131556
ALLENTOWN--BETHLEHEM--EASTON PA MSA,637958,595081
ALTOONA PA MSA,129144,130542
AMARILLO TX MSA,217858,187547
ANCHORAGE AK MSA,260283,226338
ANNISTON AL MSA,112249,116034
APPLETON--OSHKOSH--NEENAH WI MSA,358365,315121
ASHEVILLE NC MSA,225965,191774
ATHENS GA MSA,153444,126262
ATLANTA GA MSA,4112198,2959950
AUBURN--OPELIKA AL MSA,115092,87146
AUGUSTA--AIKEN GA--SC MSA,477441,415184
AUSTIN--SAN MARCOS TX MSA,1249763,846227
BAKERSFIELD CA MSA,661645,543477
BANGOR ME MSA,90864,91629
BARNSTABLE--YARMOUTH MA MSA,162582,134954
BATON ROUGE LA MSA,602894,528264
BEAUMONT--PORT ARTHUR TX MSA,385090,361226
BELLINGHAM WA MSA,166814,127780
BENTON HARBOR MI MSA,162453,161378
BILLINGS MT MSA,129352,113419
BILOXI--GULFPORT--PASCAGOULA MS MSA,363988,312368
BINGHAMTON NY MSA,252320,264497
BIRMINGHAM AL MSA,921106,840140
BISMARCK ND MSA,94719,83831
BLOOMINGTON IN MSA,120563,108978
BLOOMINGTON--NORMAL IL MSA,150433,129180
BOISE CITY ID MSA,432345,295851
BOSTON--WORCESTER--LAWRENCE MA--NH--ME--CT CMSA,5819100,5455403
BROWNSVILLE--HARLINGEN--SAN BENITO TX MSA,335227,260120
BRYAN--COLLEGE STATION TX MSA,152415,121862
BUFFALO--NIAGARA FALLS NY MSA,1170111,1189288
BURLINGTON VT MSA,169391,151506
CANTON--MASSILLON OH MSA,406934,394106
CASPER WY MSA,66533,61226
CEDAR RAPIDS IA MSA,191701,168767
CHAMPAIGN--URBANA IL MSA,179669,173025
CHARLESTON--NORTH CHARLESTON SC MSA,549033,506875
CHARLESTON WV MSA,251662,250454
CHARLOTTE--GASTONIA--ROCK HILL NC--SC MSA,1499293,1162093
CHARLOTTESVILLE VA MSA,159576,131107
CHATTANOOGA TN--GA MSA,465161,424347
CHEYENNE WY MSA,81607,73142
CHICAGO--GARY--KENOSHA IL--IN--WI CMSA,9157540,8239820
CHICO--PARADISE CA MSA,203171,182120
CINCINNATI--HAMILTON OH--KY--IN CMSA,1979202,1817571
CLARKSVILLE--HOPKINSVILLE TN--KY MSA,207033,169439
CLEVELAND--AKRON OH CMSA,2945831,2859644
COLORADO SPRINGS CO MSA,516929,397014
COLUMBIA MO MSA,135454,112379
COLUMBIA SC MSA,536691,453331
COLUMBUS GA--AL MSA,274624,260860
COLUMBUS OH MSA,1540157,1345450
CORPUS CHRISTI TX MSA,380783,349894
CORVALLIS OR MSA,78153,70811
CUMBERLAND MD--WV MSA,102008,101643
DALLAS--FORT WORTH TX CMSA,5221801,4037282
DANVILLE VA MSA,110156,108711
DAVENPORT--MOLINE--ROCK ISLAND IA--IL MSA,359062,350861
DAYTON--SPRINGFIELD OH MSA,950558,951270
DAYTONA BEACH FL MSA,493175,399413
DECATUR AL MSA,145867,131556
DECATUR IL MSA,114706,117206
DENVER--BOULDER--GREELEY CO CMSA,2581506,1980140
DES MOINES IA MSA,456022,392928
DETROIT--ANN ARBOR--FLINT MI CMSA,5456428,5187171
DOTHAN AL MSA,137916,130964
DOVER DE MSA,126697,110993
DUBUQUE IA MSA,89143,86403
DULUTH--SUPERIOR MN--WI MSA,243815,239971
EAU CLAIRE WI MSA,148337,137543
EL PASO TX MSA,679622,591610
ELKHART--GOSHEN IN MSA,182791,156198
ELMIRA NY MSA,91070,95195
ENID OK MSA,57813,56735
ERIE PA MSA,280843,275572
EUGENE--SPRINGFIELD OR MSA,322959,282912
EVANSVILLE--HENDERSON IN--KY MSA,296195,278990
FARGO--MOORHEAD ND--MN MSA,174367,153296
FAYETTEVILLE NC MSA,302963,274566
FAYETTEVILLE--SPRINGDALE--ROGERS AR MSA,311121,210908
FLAGSTAFF AZ--UT MSA,122366,101760
FLORENCE AL MSA,142950,131327
FLORENCE SC MSA,125761,114344
FORT COLLINS--LOVELAND CO MSA,251494,186136
FORT MYERS--CAPE CORAL FL MSA,440888,335113
FORT PIERCE--PORT ST. LUCIE FL MSA,319426,251071
FORT SMITH AR--OK MSA,207290,175911
FORT WALTON BEACH FL MSA,170498,143776
FORT WAYNE IN MSA,502141,456281
FRESNO CA MSA,922516,755580
GADSDEN AL MSA,103459,99840
GAINESVILLE FL MSA,217955,181596
GLENS FALLS NY MSA,124345,118539
GOLDSBORO NC MSA,113329,104666
GRAND FORKS ND--MN MSA,97478,103181
GRAND JUNCTION CO MSA,116255,93145
GRAND RAPIDS--MUSKEGON--HOLLAND MI MSA,1088514,937891
GREAT FALLS MT MSA,80357,77691
GREEN BAY WI MSA,226778,194594
GREENSBORO--WINSTON-SALEM--HIGH POINT NC MSA,1251509,1050304
GREENVILLE NC MSA,133798,107924
