STATE,NAME,2000 POVERTY,1990 POVERTY,1980 POVERTY,1970 POVERTY,1960 POVERTY
AL,ALABAMA STATE,16.1,18.3,18.88,25.40,42.47
AL,AUTAUGA COUNTY,10.9,15.7,16.62,23.70,53.14
AL,BALDWIN COUNTY,10.1,14.3,16.23,22.60,41.78
AL,BARBOUR COUNTY,26.8,25.2,30.81,43.70,65.65
AL,BIBB COUNTY,20.6,21.2,21.24,38.20,56.76
AL,BLOUNT COUNTY,11.7,15.3,18.01,24.20,45.62
AL,BULLOCK COUNTY,33.5,36.5,35.45,54.90,72.23
AL,BUTLER COUNTY,24.6,31.5,27.16,40.80,63.27
AL,CALHOUN COUNTY,16.1,15.7,16.33,20.90,34.11
AL,CHAMBERS COUNTY,17.0,18.8,17.83,25.50,42.85
AL,CHEROKEE COUNTY,15.6,17.6,18.61,24.00,47.21
AL,CHILTON COUNTY,15.7,17.1,19.85,28.80,52.23
AL,CHOCTAW COUNTY,24.5,30.2,31.47,42.10,62.11
AL,CLARKE COUNTY,22.6,25.9,26.37,36.60,58.93
AL,CLAY COUNTY,17.1,17.4,21.02,31.20,50.02
AL,CLEBURNE COUNTY,13.9,15.3,16.68,23.30,52.20
AL,COFFEE COUNTY,14.7,15.5,16.32,22.80,50.68
AL,COLBERT COUNTY,14.0,14.6,14.53,22.40,35.39
AL,CONECUH COUNTY,26.6,29.7,29.41,45.00,63.69
AL,COOSA COUNTY,14.9,18.2,24.68,31.80,51.99
AL,COVINGTON COUNTY,18.4,22.0,19.92,29.10,46.31
AL,CRENSHAW COUNTY,22.1,24.3,29.82,45.40,65.18
AL,CULLMAN COUNTY,13.0,15.3,17.48,23.20,48.08
AL,DALE COUNTY,15.1,14.8,16.49,16.90,40.79
AL,DALLAS COUNTY,31.1,36.2,32.29,40.20,58.53
AL,DEKALB COUNTY,15.4,17.4,19.46,30.90,49.72
AL,ELMORE COUNTY,10.2,14.5,18.18,28.00,48.06
AL,ESCAMBIA COUNTY,20.9,28.1,21.02,30.90,47.25
AL,ETOWAH COUNTY,15.7,16.5,16.15,20.50,35.86
AL,FAYETTE COUNTY,17.3,20.3,18.13,28.30,52.51
AL,FRANKLIN COUNTY,18.9,20.7,17.11,25.90,50.05
AL,GENEVA COUNTY,19.6,19.5,20.85,29.50,53.96
AL,GREENE COUNTY,34.3,45.6,45.67,65.50,78.15
AL,HALE COUNTY,26.9,35.6,39.52,54.90,72.29
AL,HENRY COUNTY,19.1,17.4,22.72,39.00,64.78
AL,HOUSTON COUNTY,15.0,16.5,16.90,24.70,46.09
AL,JACKSON COUNTY,13.7,16.6,15.75,24.40,52.10
AL,JEFFERSON COUNTY,14.8,16.0,15.32,18.80,30.87
AL,LAMAR COUNTY,16.1,18.0,18.24,38.80,47.10
AL,LAUDERDALE COUNTY,14.4,14.9,14.76,21.30,35.30
AL,LAWRENCE COUNTY,15.3,19.8,23.55,30.90,57.10
AL,LEE COUNTY,21.8,24.9,23.58,23.40,42.63
AL,LIMESTONE COUNTY,12.3,14.0,16.96,26.60,49.07
AL,LOWNDES COUNTY,31.4,38.6,44.99,61.80,77.81
AL,MACON COUNTY,32.8,34.5,32.98,46.50,61.00
AL,MADISON COUNTY,10.5,10.9,13.83,14.10,29.45
AL,MARENGO COUNTY,25.9,30.0,33.38,46.40,63.62
AL,MARION COUNTY,15.6,19.1,16.06,23.70,52.91
AL,MARSHALL COUNTY,14.7,17.2,16.55,23.00,41.14
AL,MOBILE COUNTY,18.5,21.4,18.84,23.50,32.02
AL,MONROE COUNTY,21.3,22.7,25.89,45.10,62.54
AL,MONTGOMERY COUNTY,17.3,17.9,19.40,25.10,36.82
AL,MORGAN COUNTY,12.3,12.0,13.86,18.90,36.46
AL,PERRY COUNTY,35.4,42.6,43.78,47.50,76.00
