STATE,1960 POP.,1960 POVERTY RATE,1970 POP.,1970 POVERTY RATE,1980 POP.,1980 POVERTY RATE,1990 POP.,1990 POVERTY RATE,2000 POP.,2000 POVERTY RATE
ALABAMA,3235402,42.5,3368487,25.4,3813014,18.9,3945798,18.3,4334919,16.1
ALASKA,198034,19.0,279970,12.6,387222,10.7,532474,9.0,612961,9.4
ARIZONA,1261695,24.9,1732836,15.3,2664821,13.2,3584399,15.7,5021238,13.9
ARKANSAS,1774757,47.5,1880560,27.8,2234514,19.0,2292037,19.1,2600117,15.8
CALIFORNIA,15234350,14.4,19425370,11.1,23106594,11.4,29003219,12.5,33100044,14.2
COLORADO,1706245,18.3,2133176,12.3,2813861,10.1,3212550,11.7,4202140,9.3
CONNECTICUT,2467498,9.6,2958472,7.2,3022777,8.0,3188125,6.8,3300416,7.9
DELAWARE,434103,16.9,532911,10.9,577145,11.9,645399,8.7,759117,9.2
DISTRICT OF COLUMBIA,724518,22.2,724306,17.0,610454,18.6,570826,16.9,541657,20.2
FLORIDA,4832915,28.4,6637507,16.4,9560546,13.5,12641486,12.7,15605367,12.5
GEORGIA,3863805,39.0,4460755,20.7,5318410,16.6,6299654,14.7,7959649,13.0
HAWAII,594898,17.1,734874,9.3,927032,9.9,1071352,8.3,1178795,10.7
IDAHO,661107,18.7,695905,13.2,926257,12.6,985553,13.3,1263205,11.8
ILLINOIS,9850637,14.7,10864707,10.2,11166068,11.0,11143856,11.9,12095961,10.7
INDIANA,4562043,17.5,5071114,9.7,5341438,9.7,5372388,10.7,5894295,9.5
IOWA,2707331,21.5,2743944,11.6,2820271,10.1,2676958,11.5,2824435,9.1
KANSAS,2127567,19.7,2167458,12.7,2283468,10.1,2391824,11.5,2605429,9.9
KENTUCKY,2966267,38.3,3130413,22.9,3559034,17.6,3582459,19.0,3927047,15.8
LOUISIANA,3222229,39.5,3551429,26.3,4104836,18.6,4101071,23.6,4334094,19.6
MAINE,939170,23.7,962333,13.6,1087369,13.0,1189534,10.8,1240893,10.9
MARYLAND,3006800,17.4,3825999,10.1,4118381,9.8,4660591,8.3,5164376,8.5
MASSACHUSETTS,4970822,12.2,5523939,8.6,5550330,9.6,5812415,8.9,6138444,9.3
MICHIGAN,7662789,15.9,8697689,9.4,9057409,10.4,9077016,13.1,9700622,10.5
MINNESOTA,3342106,19.3,3711468,10.7,3960608,9.5,4259456,10.2,4794144,7.9
MISSISSIPPI,2151918,54.5,2164355,35.4,2455065,23.9,2502902,25.2,2750677,19.9
MISSOURI,4219578,24.9,4556830,14.7,4787950,12.2,4970573,13.3,5433293,11.7
MONTANA,662614,19.5,676437,13.6,767251,12.3,776793,16.1,878789,14.6
NEBRASKA,1384727,22.3,1436577,13.1,1522776,10.7,1530947,11.1,1660527,9.7
NEVADA,277263,12.8,479643,9.1,789015,8.7,1178396,10.2,1962948,10.5
NEW HAMPSHIRE,581082,14.9,712530,9.1,891649,8.5,1075703,6.4,1199322,6.5
NEW JERSEY,5932901,11.3,7043512,8.1,7231599,9.5,7563170,7.6,8232588,8.5
NEW MEXICO,930084,29.9,994258,22.8,1280599,17.6,1484339,20.6,1783907,18.4
NEW YORK,16377848,14.2,17854680,11.1,17129692,13.4,17481762,13.0,18449899,14.6
NORTH CAROLINA,4420638,40.6,4905849,20.3,5682948,14.8,6397185,13.0,7805328,12.3
NORTH DAKOTA,622199,27.1,592871,15.7,627325,12.6,613969,14.4,619197,11.9
OHIO,9513764,15.9,10434754,10.0,10567858,10.3,10574315,12.5,11046987,10.6
OKLAHOMA,2274988,29.9,2473389,18.8,2933277,13.4,3051515,16.7,3336224,14.7
OREGON,1737264,15.1,2043048,11.5,2573423,10.7,2775907,12.4,3347667,11.6
PENNSYLVANIA,11070886,17.0,11544377,10.6,11571604,10.5,11536049,11.1,11879950,11.0
RHODE ISLAND,820131,16.5,905130,11.0,914026,10.3,964376,9.6,1010000,11.9
SOUTH CAROLINA,2310381,45.4,2489935,23.9,3013707,16.6,3368125,15.4,3883329,14.1
SOUTH DAKOTA,670616,30.1,640631,18.7,665829,16.9,670383,15.9,727425,13.2
TENNESSEE,3494131,39.3,3831231,21.8,4476470,16.5,4743685,15.7,5539896,13.5
TEXAS,9370609,31.7,10906857,18.8,13884654,14.7,16580286,18.1,20287300,15.4
UTAH,877040,15.4,1035801,11.4,1436468,10.3,1694357,11.4,2195034,9.4
VERMONT,374720,23.5,426226,12.1,489939,12.1,541372,9.9,588053,9.4
VIRGINIA,3800633,30.6,4458506,15.5,5164784,11.8,5968596,10.2,6844372,9.6
WASHINGTON,2775814,14.3,3300222,10.2,4020181,9.8,4741003,10.9,5765201,10.6
WEST VIRGINIA,1838955,34.6,1708917,22.2,1914081,15.0,1755331,19.7,1763866,17.9
WISCONSIN,3868855,15.7,4303880,9.8,4582005,8.7,4754103,10.7,5211603,8.7
WYOMING,327778,15.6,323891,11.7,459732,7.9,442277,11.9,479485,11.4
